id_exhibidor,id_pdv,estado_fisico,largo,alto
1,1,Buen estado,120,140
2,1,Estado regular,110,160
3,2,Buen estado,125,135
4,2,Estado regular,115,150
5,3,Buen estado,130,145
6,3,Estado regular,120,155
7,4,Buen estado,115,140
8,4,Estado regular,105,160
9,5,Buen estado,120,130
10,5,Estado regular,110,155
11,6,Buen estado,125,145
12,6,Estado regular,115,160
13,7,Buen estado,130,140
14,7,Estado regular,120,155
15,8,Buen estado,115,135
16,8,Estado regular,105,160
17,9,Buen estado,120,140
18,9,Estado regular,110,155
19,10,Buen estado,125,145
20,10,Estado regular,115,160
21,11,Buen estado,130,135
22,11,Estado regular,120,155
23,12,Buen estado,115,140
24,12,Estado regular,105,160
25,13,Buen estado,120,130
26,13,Estado regular,110,155
27,14,Buen estado,125,145
28,14,Estado regular,115,160
29,15,Buen estado,130,140
30,15,Estado regular,120,155
31,16,Buen estado,115,135
32,16,Estado regular,105,160
33,17,Buen estado,120,140
34,17,Estado regular,110,155
35,18,Buen estado,125,145
36,18,Estado regular,115,160
37,19,Buen estado,130,135
38,19,Estado regular,120,155
39,20,Buen estado,115,140
40,20,Estado regular,105,160
41,21,Buen estado,120,130
42,21,Estado regular,110,155
43,22,Buen estado,125,145
44,22,Estado regular,115,160
45,23,Buen estado,130,140
46,23,Estado regular,120,155
47,24,Buen estado,115,135
48,24,Estado regular,105,160
49,25,Buen estado,120,140
50,25,Estado regular,110,155
